"from","to","search","tele"
"Finland","Hungary",1,49
"Finland","Iceland",10,44
"Finland","Ireland",19,19
"Finland","Israel",26,33
"Finland","Italy",23,19
"Finland","Latvia",6,12
"Finland","Lithuania",17,8
"Finland","Malta",11,14
"Finland","Moldova",11,7
"Finland","Netherlands",15,18
"Finland","North Macedonia",6,0
"Finland","Norway",44,62
"Finland","Poland",7,5
"Finland","Portugal",18,12
"Finland","Romania",7,9
"Finland","Russia",61,62
"Finland","Serbia",14,16
"Finland","Serbia and Montenegro",7,10
"Finland","Slovenia",3,1
"Finland","Spain",10,8
"Finland","Sweden",129,105
"Finland","Switzerland",12,10
"Finland","Turkey",12,21
"Finland","Ukraine",48,33
"Finland","United Kingdom",48,0
"France","Albania",3,2
"France","Armenia",38,84
"France","Australia",9,2
"France","Austria",12,22
"France","Azerbaijan",18,15
"France","Belarus",6,0
"France","Belgium",27,36
"France","Bosnia and Herzegovina",7,19
"France","Bulgaria",9,14
"France","Croatia",10,0
"France","Cyprus",10,8
"France","Czech Republic",4,0
"France","Denmark",7,29
"France","Estonia",0,17
"France","Finland",31,11
"France","Georgia",2,0
"France","Germany",34,23
"France","Greece",34,29
"France","Hungary",16,8
"France","Iceland",1,7
"France","Ireland",17,1
"France","Israel",31,49
"France","Italy",38,41
"France","Latvia",0,7
"France","Lithuania",7,3
"France","Malta",1,9
"France","Moldova",9,23
"France","Netherlands",33,8
"France","Norway",26,10
"France","Poland",27,17
"France","Portugal",18,43
"France","Romania",34,36
"France","Russia",54,31
"France","Serbia",20,34
"France","Serbia and Montenegro",0,16
"France","Slovenia",2,0
"France","Spain",55,58
"France","Sweden",51,44
"France","Switzerland",8,0
"France","Turkey",56,87
"France","Ukraine",35,22
"France","United Kingdom",33,5
"Georgia","Albania",3,3
"Georgia","Armenia",30,90
"Georgia","Australia",11,1
"Georgia","Austria",12,14
"Georgia","Azerbaijan",55,81
"Georgia","Belarus",7,31
"Georgia","Belgium",11,6
"Georgia","Bulgaria",9,10
"Georgia","Croatia",0,1
"Georgia","Cyprus",23,12
"Georgia","Czech Republic",10,0
"Georgia","Denmark",6,9
"Georgia","Estonia",3,8
"Georgia","Finland",5,0
"Georgia","France",9,9
"Georgia","Germany",7,7
"Georgia","Greece",0,19
"Georgia","Hungary",4,7
"Georgia","Iceland",6,0
"Georgia","Ireland",7,0
"Georgia","Israel",10,20
"Georgia","Italy",13,31
"Georgia","Latvia",0,12
"Georgia","Lithuania",3,40
"Georgia","Malta",5,3
"Georgia","Moldova",0,12
"Georgia","Netherlands",12,0
"Georgia","North Macedonia",0,1
"Georgia","Norway",16,15
"Georgia","Poland",9,4
"Georgia","Portugal",12,8
"Georgia","Romania",8,0
"Georgia","Russia",72,51
"Georgia","Serbia",5,6
"Georgia","Spain",15,2
"Georgia","Sweden",26,19
"Georgia","Switzerland",0,1
"Georgia","Turkey",7,20
"Georgia","Ukraine",37,79
"Georgia","United Kingdom",8,6
"Germany","Albania",8,12
"Germany","Armenia",27,26
"Germany","Australia",15,12
"Germany","Austria",24,31
"Germany","Azerbaijan",20,5
"Germany","Belarus",5,0
"Germany","Belgium",13,30
"Germany","Bosnia and Herzegovina",18,24
"Germany","Bulgaria",10,13
"Germany","Croatia",15,15
"Germany","Cyprus",12,14
"Germany","Czech Republic",7,8
"Germany","Denmark",21,38
"Germany","Estonia",1,7
"Germany","Finland",22,18
"Germany","France",15,6
"Germany","Greece",52,80
"Germany","Hungary",15,25
"Germany","Iceland",3,24
"Germany","Ireland",20,21
"Germany","Israel",25,23
"Germany","Italy",18,25
"Germany","Latvia",0,13
"Germany","Lithuania",4,5
"Germany","Malta",3,17
"Germany","Moldova",8,12
"Germany","Netherlands",32,16
"Germany","North Macedonia",10,0
"Germany","Norway",34,28
"Germany","Poland",27,26
"Germany","Portugal",10,22
"Germany","Romania",18,11
"Germany","Russia",86,62
"Germany","Serbia",20,31
"Germany","Serbia and Montenegro",12,13
"Germany","Slovenia",0,1
"Germany","Spain",11,3
"Germany","Sweden",50,36
"Germany","Switzerland",16,7
"Germany","Turkey",64,84
"Germany","Ukraine",64,17
"Germany","United Kingdom",35,9
"Greece","Albania",25,73
"Greece","Armenia",37,53
"Greece","Australia",13,10
"Greece","Austria",12,18
"Greece","Azerbaijan",26,34
"Greece","Belarus",8,6
"Greece","Belgium",32,18
"Greece","Bosnia and Herzegovina",6,9
"Greece","Bulgaria",12,34
"Greece","Croatia",12,2
"Greece","Cyprus",41,94
"Greece","Czech Republic",7,7
"Greece","Denmark",10,7
"Greece","Estonia",0,9
"Greece","Finland",13,12
"Greece","France",20,34
"Greece","Georgia",29,27
"Greece","Germany",33,8
"Greece","Hungary",6,12
"Greece","Iceland",4,7
"Greece","Ireland",18,0
"Greece","Israel",24,7
"Greece","Italy",28,46
"Greece","Latvia",0,4
"Greece","Lithuania",3,4
"Greece","Malta",10,12
"Greece","Moldova",8,27
"Greece","Netherlands",23,8
"Greece","North Macedonia",7,0
"Greece","Norway",46,28
"Greece","Poland",3,8
"Greece","Portugal",10,8
"Greece","Romania",25,36
"Greece","Russia",51,58
"Greece","Serbia",12,17
"Greece","Serbia and Montenegro",0,14
"Greece","Slovenia",3,0
"Greece","Spain",11,13
"Greece","Sweden",50,21
"Greece","Switzerland",17,7
"Greece","Turkey",22,12
"Greece","Ukraine",64,52
"Greece","United Kingdom",34,14
"Hungary","Albania",8,10
"Hungary","Armenia",18,10
"Hungary","Australia",6,11
"Hungary","Austria",13,21
"Hungary","Azerbaijan",16,41
"Hungary","Belarus",0,4
"Hungary","Belgium",19,24
"Hungary","Bulgaria",18,26
"Hungary","Croatia",0,12
